A yank,Un coup sec ,"After a couple of yanks, the rope came free",N
To yearn,Aspirer,"She yearned for a simple life, but it wasn't what destiny gave her.",V
To yelp,"Glapir, japper, crier","As soon as the fox showed up, the mother yelped loudly to warn her pups",V
